fecha,etapa,bolson,camion,peso,cartonero,legacyId,predio,material
2021-07-30,R8,2.0,,24,COMPA40,2606,BARRACAS,Mezcla B
2021-07-30,R8,4.0,,15,COMPA47,2608,BARRACAS,Mezcla B
2021-07-30,R8,4.0,,21,COMPA47,2608,BARRACAS,Mezcla B
2021-07-30,R8,4.0,,24,COMPA47,2608,BARRACAS,Mezcla B
2021-07-30,R8,5.0,,35,COMPA112,6387,BARRACAS,Mezcla B
2021-07-30,R8,10.0,,27,COMPA295,4860,BARRACAS,Mezcla B
2021-07-30,R8,10.0,,32,COMPA295,4860,BARRACAS,Mezcla B
2021-07-30,R8,12.0,,28,COMPA297,2619,BARRACAS,Mezcla B
2021-07-30,R8,15.0,,73,COMPA731,2626,BARRACAS,Mezcla B
2021-07-30,R8,15.0,,33,COMPA731,2626,BARRACAS,Mezcla B
2021-07-30,R8,19.0,,26,COMPA857,4859,BARRACAS,Mezcla B
2021-07-30,R8,21.0,,53,COMPA911,2634,BARRACAS,Mezcla B
2021-07-30,R8,21.0,,77,COMPA911,2634,BARRACAS,Mezcla B
2021-07-30,R8,22.0,,69,COMPA937,2635,BARRACAS,Mezcla B
2021-07-30,R8,23.0,,14,COMPA897,2636,BARRACAS,Mezcla B
2021-07-30,R8,23.0,,13,COMPA897,2636,BARRACAS,Mezcla B
2021-07-30,R8,23.0,,30,COMPA897,2636,BARRACAS,Mezcla B
2021-07-30,R8,24.0,,23,COMPA1026,2637,BARRACAS,Mezcla B
2021-07-30,R8,23.0,,40,COMPA897,2636,BARRACAS,Mezcla B
2021-07-30,R8,27.0,,32,COMPA1219,2640,BARRACAS,Mezcla B
2021-07-30,R8,30.0,,35,COMPA1414,4862,BARRACAS,Mezcla B
2021-07-30,R8,30.0,,13,COMPA1414,4862,BARRACAS,Mezcla B
2021-07-30,R8,32.0,,14,COMPA1476,2646,BARRACAS,Mezcla B
2021-07-30,R8,32.0,,27,COMPA1476,2646,BARRACAS,Mezcla B
2021-07-30,R8,38.0,,34,COMPA1763,6195,BARRACAS,Mezcla B
2021-07-30,R8,38.0,,29,COMPA1763,6195,BARRACAS,Mezcla B
2021-07-30,R8,44.0,,27,COMPA2117,2661,BARRACAS,Mezcla B
2021-07-30,R8,46.0,,76,COMPA2142,5841,BARRACAS,Mezcla B
